"";"";"";"";"";"";"";"";"foo"
"Country";"Germany";"Germany";"Germany";"Germany";"Portugal";"Austria";"Austria";"-"
"Matrix";"Meat from turkey (N=322)";"Meat from broilers (Gallus gallus) (N=122)";"Crustaceans (N=31)";"Gallus gallus (fowl) (N=3)";"Small ruminants (N=3)";"Meat from turkey (N=28)";"Meat from broilers (Gallus gallus) (N=14)";"Total"
"CEF-CLI-ERY-PEN-Q/D-TET-TIA-TMP";"90 (28)";"61 (50)";"";"1 (33.3)";"";"4 (14.3)";"2 (14.3)";"158 (30.2)"
"CEF-CIP-CLI-ERY-PEN-Q/D-TET-TIA-TMP";"74 (23)";"3 (2.5)";"";"";"";"5 (17.9)";"";"82 (15.7)"
"CEF-CLI-PEN-Q/D-TET-TIA-TMP";"11 (3.4)";"10 (8.2)";"";"";"";"";"1 (7.1)";"22 (4.2)"
"CEF-CIP-PEN";"17 (5.3)";"1 (0.8)";"2 (6.5)";"";"";"";"";"20 (3.8)"
"CEF-CLI-ERY-PEN-Q/D-TET-TIA";"5 (1.6)";"10 (8.2)";"";"";"";"";"";"15 (2.9)"
"CEF-CIP-CLI-ERY-GEN-KAN-PEN-TET-TMP";"12 (3.7)";"";"";"";"";"2 (7.1)";"";"14 (2.7)"
"CEF-CIP-CLI-PEN-Q/D-STR-TET-TIA-TMP";"1 (0.3)";"12 (9.8)";"";"1 (33.3)";"";"";"";"14 (2.7)"
"CEF-CLI-ERY-PEN-Q/D-STR-TET-TIA-TMP";"8 (2.5)";"5 (4.1)";"";"";"";"";"";"13 (2.5)"
"CEF-CIP-CLI-ERY-PEN-Q/D-TET-TIA";"5 (1.6)";"1 (0.8)";"";"";"";"6 (21.4)";"";"12 (2.3)"
"CEF-ERY-PEN";"";"";"7 (22.6)";"";"";"";"2 (14.3)";"9 (1.7)"
"CEF-PEN-TET";"3 (0.9)";"3 (2.5)";"";"";"1 (33.3)";"2 (7.1)";"";"9 (1.7)"
"CEF-CIP-PEN-TMP";"8 (2.5)";"";"";"";"";"";"";"8 (1.5)"
"CEF-CIP-CLI-ERY-PEN-Q/D-STR-TET-TIA-TMP";"6 (1.9)";"1 (0.8)";"";"";"";"";"";"7 (1.3)"
"CEF-CIP-CLI-PEN-Q/D-TET-TIA-TMP";"7 (2.2)";"";"";"";"";"";"";"7 (1.3)"
"CEF-CLI-PEN-Q/D-TET-TIA";"4 (1.2)";"2 (1.6)";"";"";"";"";"1 (7.1)";"7 (1.3)"
"CEF-CLI-PEN-Q/D-STR-TET-TIA-TMP";"2 (0.6)";"2 (1.6)";"";"";"";"1 (3.6)";"1 (7.1)";"6 (1.1)"
"CEF-CHL-PEN";"4 (1.2)";"";"";"";"";"1 (3.6)";"";"5 (1)"
"CEF-CIP-CLI-ERY-GEN-KAN-PEN-Q/D-STR-TET-TIA";"4 (1.2)";"";"";"";"";"1 (3.6)";"";"5 (1)"
"CEF-CIP-CLI-ERY-PEN-TET-TMP";"2 (0.6)";"2 (1.6)";"";"";"";"";"1 (7.1)";"5 (1)"
