"Food";"Country";"Production type";"Sample unit";"Units tested";"Positive for MRSA (%)"
"Crustaceans";"Germany";"Crustaceans - prawns - raw";"single";10;"0 (0%)"
"Meat from bovine animals";"Austria";"Meat from bovine animals - fresh - chilled";"single";310;"6 (1.9%)"
"Meat from bovine animals";"Germany";"Meat from bovine animals - fresh";"single";74;"5 (6.8%)"
"Meat from bovine animals";"Netherlands";"Meat from bovine animals - fresh";"batch";184;"25 (13.6%)"
"Meat from bovine animals";"Netherlands";"Meat from bovine animals - fresh";"single";284;"9 (3.2%)"
"Meat from bovine animals";"Netherlands";"Meat from bovine animals - meat preparation - intended to be eaten raw";"single";148;"8 (5.4%)"
"Meat from broilers (Gallus gallus)";"Netherlands";"Meat from broilers (Gallus gallus) - fresh - chilled";"single";185;"18 (9.7%)"
"Meat from deer (venison)";"Netherlands";"Meat from deer (venison) - fresh";"batch";3;"0 (0%)"
"Meat from deer (venison)";"Netherlands";"Meat from deer (venison) - fresh - frozen";"batch";8;"0 (0%)"
"Meat from duck";"Netherlands";"Meat from duck - fresh";"batch";3;"0 (0%)"
"Meat from farmed game- land mammals";"Netherlands";"Meat from farmed game- land mammals - meat products - raw but intended to be eaten cooked - chilled";"batch";3;"0 (0%)"
"Meat from pig";"Austria";"Meat from pig - fresh - chilled";"single";313;"45 (14.4%)"
"Meat from pig";"Germany";"Meat from pig - fresh - chilled";"single";380;"39 (10.3%)"
"Meat from pig";"Netherlands";"Meat from pig - fresh";"single";291;"20 (6.9%)"
"Meat from pig";"Slovakia";"Meat from pig - fresh";"single";130;"20 (15.4%)"
"Meat from sheep";"Netherlands";"Meat from sheep - fresh";"single";134;"7 (5.2%)"
"Meat from sheep";"Netherlands";"Meat from sheep - meat preparation - intended to be eaten cooked";"single";17;"0 (0%)"
"Meat from turkey";"Netherlands";"Meat from turkey - fresh - chilled";"single";7;"2 (28.6%)"
"Meat from wild game - birds";"Netherlands";"Meat from wild game - birds - fresh";"batch";5;"1 (20%)"
