"Animal";"Country";"Production type";"Sample unit";"Units tested";"Positive for MRSA (%)"
"Cattle (bovine animals)";"Belgium";"Cattle (bovine animals) - calves (under 1 year) - veal calves";"herd/flock";145;"64 (44.1%)"
"Cattle (bovine animals)";"Belgium";"Cattle (bovine animals) - dairy cows";"herd/flock";126;"12 (9.5%)"
"Cattle (bovine animals)";"Belgium";"Cattle (bovine animals) - meat production animals";"herd/flock";85;"8 (9.4%)"
"Cattle (bovine animals)";"Netherlands";"Cattle (bovine animals) - dairy cows";"animal";674;"0 (0%)"
"Cattle (bovine animals)";"Norway";"Cattle (bovine animals)";"animal";69;"13 (18.8%)"
"Cattle (bovine animals)";"Norway";"Cattle (bovine animals)";"herd/flock";69;"27 (39.1%)"
"Cattle (bovine animals)";"Republic of North Macedonia";"Cattle (bovine animals) - calves (under 1 year)";"slaughter batch";13;"0 (0%)"
"Cattle (bovine animals)";"Republic of North Macedonia";"Cattle (bovine animals) - dairy cows";"herd/flock";38;"0 (0%)"
"Gallus gallus (fowl)";"Germany";"Gallus gallus (fowl) - broilers - before slaughter - conventional";"single";261;"3 (1.1%)"
"Gallus gallus (fowl)";"Germany";"Gallus gallus (fowl) - broilers - before slaughter - organic";"single";61;"0 (0%)"
"Gallus gallus (fowl)";"Norway";"Gallus gallus (fowl)";"animal";325;"0 (0%)"
"Gallus gallus (fowl)";"Republic of North Macedonia";"Gallus gallus (fowl) - broilers - before slaughter";"herd/flock";4;"0 (0%)"
"Pigs";"Netherlands";"Pigs - fattening pigs";"holding";114;"81 (71.1%)"
"Pigs";"Norway";"Pigs - breeding animals";"herd/flock";220;"0 (0%)"
"Pigs";"Norway";"Pigs - fattening pigs";"animal";27;"0 (0%)"
"Pigs";"Norway";"Pigs - fattening pigs";"herd/flock";2449;"0 (0%)"
"Pigs";"Republic of North Macedonia";"Pigs - fattening pigs";"herd/flock";24;"0 (0%)"
"Pigs";"Republic of North Macedonia";"Pigs - fattening pigs";"slaughter batch";12;"0 (0%)"
"Turkeys";"Norway";"Turkeys - fattening flocks";"animal";113;"0 (0%)"
