"Category";"Country";"type";"samp_type";"SPA";"n";"N";"ST";"CC";"CC_infer";"Host"
"food";"Austria";"Meat from broilers (Gallus gallus)";"food sample - meat";"2";1;325;"149";"5";"5";"HA"
"food";"Austria";"Meat from broilers (Gallus gallus)";"food sample - meat";"11";2;325;"398";"398";"398";"LA"
"food";"Austria";"Meat from broilers (Gallus gallus)";"food sample - meat";"34";5;325;"398";"398";"398";"LA"
"food";"Austria";"Meat from broilers (Gallus gallus)";"food sample - meat";"127";1;325;"1";"1";"1";"LA"
"food";"Austria";"Meat from broilers (Gallus gallus)";"food sample - meat";"223";1;325;"22";"22";"22";NA
"food";"Austria";"Meat from broilers (Gallus gallus)";"food sample - meat";"330";1;325;"45";"45";"45";NA
"food";"Austria";"Meat from broilers (Gallus gallus)";"food sample - meat";"330";1;325;"9338";"45";"45";NA
"food";"Austria";"Meat from broilers (Gallus gallus)";"food sample - meat";"843";1;325;"130";NA;NA;NA
"food";"Austria";"Meat from broilers (Gallus gallus)";"food sample - meat";"899";2;325;"398";"398";"398";"LA"
"food";"Austria";"Meat from turkey";"food sample - meat";"11";13;173;"398";"398";"398";"LA"
"food";"Austria";"Meat from turkey";"food sample - meat";"11";1;173;"5972";"398";"398";"LA"
"food";"Austria";"Meat from turkey";"food sample - meat";"34";6;173;"398";"398";"398";"LA"
"food";"Austria";"Meat from turkey";"food sample - meat";"127";1;173;"1";"1";"1";"LA"
"food";"Austria";"Meat from turkey";"food sample - meat";"899";5;173;"398";"398";"398";"LA"
"food";"Austria";"Meat from turkey";"food sample - meat";"1255";1;173;"398";"398";"398";"LA"
"food";"Austria";"Meat from turkey";"food sample - meat";"8425";1;173;"45";"45";"45";NA
"food";"Germany";"Crustaceans";NA;"8";3;226;NA;"8";"8";"CA/HA"
"food";"Germany";"Crustaceans";NA;"19";1;226;"722";NA;NA;NA
"food";"Germany";"Crustaceans";NA;"34";1;226;NA;"398";"398";"LA"
"food";"Germany";"Crustaceans";NA;"45";1;226;NA;NA;NA;NA
