"Category";"Country";"Animal/food type";"Sample type/ unit";"No. of isolates ";"spa-type";"PVL status/ IEC genes";"ST";"CC";"mec-gene";"Inferred CC";"LA, CA or HA";"Inferred ST/CC & type"
"food";"Germany";"Meat from pig";"batch (food/feed)";"10/37";"11";"-";"";"";"mecA";"398";"";""
"food";"Germany";"Meat from pig";"batch (food/feed)";"8/37";"899";"-";"9";"";"mecA";"CC1/CC398";"";"9"
"food";"Germany";"Meat from pig";"batch (food/feed)";"7/37";"34";"-";"";"";"mecA";"398";"";""
"food";"Germany";"Meat from pig";"batch (food/feed)";"2/37";"2011";"-";"";"";"mecA";"398";"";""
"food";"Germany";"Meat from pig";"batch (food/feed)";"2/37";"1430";"-";"";"";"mecA";"1";"";"9"
"food";"Germany";"Meat from pig";"batch (food/feed)";"1/37";"8";"-";"";"";"mecA";"8";"";""
"food";"Germany";"Meat from pig";"batch (food/feed)";"1/37";"693";"-";"9";"";"mecA";"1";"";"9"
"food";"Germany";"Meat from pig";"batch (food/feed)";"1/37";"3512";"-";"";"";"mecA";"2343";"";""
"food";"Germany";"Meat from pig";"batch (food/feed)";"1/37";"20072";"-";"22";"22";"mecA";"22";"";"22"
"food";"Germany";"Meat from pig";"batch (food/feed)";"1/37";"1580";"-";"";"";"mecA";"398";"";""
"food";"Germany";"Meat from pig";"batch (food/feed)";"1/37";"1451";"-";"";"";"mecA";"398";"";""
"food";"Germany";"Meat from pig";"batch (food/feed)";"1/37";"1419";"-";"";"";"mecA";"1";"";"9"
"food";"Germany";"Meat from pig";"batch (food/feed)";"1/37";"127";"-";"";"";"mecA";"1";"";""
"food";"Germany";"Meat from bovine animals";"batch (food/feed)";"4/5";"2";"-";"";"";"mecA";"5";"";""
"food";"Germany";"Meat from bovine animals";"batch (food/feed)";"1/5";"8";"-";"";"";"mecA";"8";"";""
"food";"Austria";"Meat from pig";"batch (food/feed)";"20/44";"11";"-";"398";"398";"mecA";"398";"";"398"
"food";"Austria";"Meat from pig";"batch (food/feed)";"12/44";"34";"-";"398";"398";"mecA";"398";"";"398"
"food";"Austria";"Meat from pig";"batch (food/feed)";"4/44";"2011";"-";"398";"398";"mecA";"398";"";"398"
"food";"Austria";"Meat from pig";"batch (food/feed)";"3/44";"1430";"-";"9";"1";"mecA";"1";"";"9"
"food";"Austria";"Meat from pig";"batch (food/feed)";"2/44";"1451";"-";"398";"398";"mecA";"398";"";"398"
"food";"Austria";"Meat from pig";"batch (food/feed)";"1/44";"899";"-";"9";"1";"mecA";"1";"";"9"
"food";"Austria";"Meat from pig";"batch (food/feed)";"1/44";"5524";"-";"398";"398";"mecA";"398";"";"398"
"food";"Austria";"Meat from pig";"batch (food/feed)";"1/44";"1255";"-";"";"398";"mecA";"398";"";""
"food";"Austria";"Meat from bovine animals";"batch (food/feed)";"3/6";"34";"-";"398";"398";"mecA";"398";"";"398"
"food";"Austria";"Meat from bovine animals";"batch (food/feed)";"3/6";"11";"-";"398";"398";"mecA";"398";"";"398"
"animal";"Germany";"Pigs";"herd/flock";"38/84";"34";"-";"";"";"mecA";"398";"";""
"animal";"Germany";"Pigs";"herd/flock";"19/84";"11";"-";"";"";"mecA";"398";"";""
"animal";"Germany";"Pigs";"herd/flock";"6/84";"899";"-";"9";"";"mecA";"CC1/CC398";"";"9"
"animal";"Germany";"Pigs";"herd/flock";"6/84";"2011";"-";"";"";"mecA";"398";"";""
"animal";"Germany";"Pigs";"herd/flock";"3/84";"6575";"-";"";"";"mecA";"398";"";""
"animal";"Germany";"Pigs";"herd/flock";"2/84";"2922";"-";"";"";"mecA";"398";"";""
"animal";"Germany";"Pigs";"herd/flock";"2/84";"1451";"-";"";"";"mecA";"398";"";""
"animal";"Germany";"Pigs";"herd/flock";"1/84";"6608";"-";"398";"398";"mecA";"398";"";"398"
"animal";"Germany";"Pigs";"herd/flock";"1/84";"4652";"-";"";"";"mecA";"";"";""
"animal";"Germany";"Pigs";"herd/flock";"1/84";"3075";"-";"398";"398";"mecA";"398";"";"398"
"animal";"Germany";"Pigs";"herd/flock";"1/84";"19248";"-";"";"";"mecA";"398";"";""
"animal";"Germany";"Pigs";"herd/flock";"1/84";"16666";"-";"398";"398";"mecA";"398";"";"398"
"animal";"Germany";"Pigs";"herd/flock";"1/84";"1456";"-";"";"";"mecA";"398";"";""
"animal";"Germany";"Pigs";"herd/flock";"1/84";"108";"-";"";"";"mecA";"398";"";""
"animal";"Germany";"Pigs";"herd/flock";"1/84";"10204";"-";"";"";"mecA";"1";"";"9"
