"spa-type";"Year";"Animals (N)";"Total";"Food (N)";"Total"
"t034";2024;"Gallus gallus (fowl)(3)";"3";"Meat from broilers (Gallus gallus)(51), Meat from turkey(146)";"197"
"t034";2023;"Pigs(38)";"38";"Meat from bovine animals(3), Meat from pig(19)";"22"
"t011";2024;"Cattle (bovine animals)(116)";"116";"Meat from broilers (Gallus gallus)(16), Meat from turkey(32)";"48"
"t011";2023;"Gallus gallus (fowl)(1), Pigs(19), Turkeys(10)";"30";"Meat from bovine animals(6), Meat from pig(50)";"56"
"t398";2024;"";"";"Meat from broilers (Gallus gallus)(27), Meat from turkey(100)";"127"
"t899";2024;"";"";"Meat from broilers (Gallus gallus)(2), Meat from turkey(48)";"50"
"t899";2023;"Pigs(6)";"6";"Meat from pig(8)";"8"
"t2011";2024;"Cattle (bovine animals)(5)";"5";"";""
"t2011";2023;"Pigs(6)";"6";"Meat from pig(6)";"6"
"t1451";2024;"Cattle (bovine animals)(2)";"2";"Meat from turkey(1)";"1"
"t1451";2023;"Pigs(2)";"2";"Meat from pig(3)";"3"
"t6575";2024;"";"";"Meat from turkey(3)";"3"
"t6575";2023;"Pigs(3)";"3";"";""
"t8588";2024;"";"";"Crustaceans(1), Meat from turkey(3)";"4"
"t21298";2024;"";"";"Meat from broilers (Gallus gallus)(1), Meat from turkey(3)";"4"
"t2970";2024;"Cattle (bovine animals)(3)";"3";"";""
"t1344";2024;"Cattle (bovine animals)(1)";"1";"Meat from broilers (Gallus gallus)(2)";"2"
"t2922";2023;"Pigs(2)";"2";"";""
"t1456";2024;"Cattle (bovine animals)(1)";"1";"";""
"t1456";2023;"Pigs(1)";"1";"";""
"t1255";2024;"";"";"Meat from turkey(1)";"1"
"t1255";2023;"";"";"Meat from pig(1)";"1"
"t108";2024;"Cattle (bovine animals)(1)";"1";"";""
"t108";2023;"Pigs(1)";"1";"";""
"t10485";2024;"";"";"Meat from turkey(2)";"2"
"t779";2024;"";"";"Meat from broilers (Gallus gallus)(1)";"1"
"t6608";2023;"Pigs(1)";"1";"";""
"t5972";2024;"";"";"Meat from turkey(1)";"1"
"t588";2024;"Cattle (bovine animals)(1)";"1";"";""
"t5524";2023;"";"";"Meat from pig(1)";"1"
"t4132";2024;"";"";"Meat from broilers (Gallus gallus)(1)";"1"
"t3423";2024;"Cattle (bovine animals)(1)";"1";"";""
"t3075";2023;"Pigs(1)";"1";"";""
"t2346";2024;"Cattle (bovine animals)(1)";"1";"";""
"t22059";2024;"";"";"Crustaceans(1)";"1"
"t19248";2023;"Pigs(1)";"1";"";""
"t16666";2023;"Pigs(1)";"1";"";""
"t1606";2024;"Cattle (bovine animals)(1)";"1";"";""
"t1580";2023;"";"";"Meat from pig(1)";"1"
"t12314";2024;"";"";"Meat from broilers (Gallus gallus)(1)";"1"
