"spa-type";"CC";"Year";"Animals (N)";"Total";"Food (N)";"Total"
"t3841";NA;2024;"";"";"Meat from turkey(15)";"15"
"t8425";NA;2024;"";"";"Meat from turkey(6)";"6"
"t304";NA;2024;"";"";"Crustaceans(6)";"6"
"t045";NA;2024;"";"";"Crustaceans(1)";"1"
"t693";NA;2024;"";"";"Meat from turkey(1)";"1"
"t189";NA;2024;"";"";"Crustaceans(2)";"2"
"t5229";NA;2024;"";"";"Crustaceans(1)";"1"
"t4652";NA;2023;"Pigs(1)";"1";"";""
"t376";NA;2024;"";"";"Crustaceans(1)";"1"
"t21897";NA;2024;"";"";"Crustaceans(1)";"1"
"t21860";NA;2024;"";"";"Crustaceans(1)";"1"
"t1849";NA;2024;"";"";"Crustaceans(1)";"1"
"t1309";NA;2024;"";"";"Crustaceans(1)";"1"
"t130";NA;2024;"";"";"Meat from broilers (Gallus gallus)(1)";"1"
