"Category";"Country";"type";"samp_type";"SPA";"n";"N";"ST";"CC";"CC_infer";"Host"
"food";"Austria";"Meat from broilers (Gallus gallus)";"food sample - meat";"1";1;325;"127";"1";"1";NA
"food";"Austria";"Meat from broilers (Gallus gallus)";"food sample - meat";"22";1;325;"223";"22";"22";NA
"food";"Austria";"Meat from broilers (Gallus gallus)";"food sample - meat";"45";1;325;"330";"45";"45";NA
"food";"Austria";"Meat from broilers (Gallus gallus)";"food sample - meat";"130";1;325;"843";NA;NA;NA
"food";"Austria";"Meat from broilers (Gallus gallus)";"food sample - meat";"149";1;325;"2";"5";"5";NA
"food";"Austria";"Meat from broilers (Gallus gallus)";"food sample - meat";"398";2;325;"11";"398";"398";NA
"food";"Austria";"Meat from broilers (Gallus gallus)";"food sample - meat";"398";5;325;"34";"398";"398";NA
"food";"Austria";"Meat from broilers (Gallus gallus)";"food sample - meat";"398";2;325;"899";"398";"398";NA
"food";"Austria";"Meat from broilers (Gallus gallus)";"food sample - meat";"9338";1;325;"330";"45";"45";NA
"food";"Austria";"Meat from turkey";"food sample - meat";"1";1;173;"127";"1";"1";NA
"food";"Austria";"Meat from turkey";"food sample - meat";"45";1;173;"8425";"45";"45";NA
"food";"Austria";"Meat from turkey";"food sample - meat";"398";6;173;"34";"398";"398";NA
"food";"Austria";"Meat from turkey";"food sample - meat";"398";1;173;"1255";"398";"398";NA
"food";"Austria";"Meat from turkey";"food sample - meat";"398";5;173;"899";"398";"398";NA
"food";"Austria";"Meat from turkey";"food sample - meat";"398";13;173;"11";"398";"398";NA
"food";"Austria";"Meat from turkey";"food sample - meat";"5972";1;173;"11";"398";"398";NA
"food";"Germany";"Crustaceans";NA;"8";2;226;NA;"8";"8";"CA/HA"
"food";"Germany";"Crustaceans";NA;"45";1;226;NA;NA;NA;NA
"food";"Germany";"Crustaceans";NA;"127";3;226;NA;"1";"1";"LA"
"food";"Germany";"Crustaceans";NA;"189";2;226;NA;NA;NA;NA
"food";"Germany";"Crustaceans";NA;"304";6;226;NA;NA;NA;NA
"food";"Germany";"Crustaceans";NA;"376";1;226;NA;NA;NA;NA
"food";"Germany";"Crustaceans";NA;"1309";1;226;"672";NA;NA;NA
"food";"Germany";"Crustaceans";NA;"1849";1;226;NA;NA;NA;NA
